Код;Наименование;Склад;Валюта;Цена1;Цена2;Цена3;Цена4;Гар.
ПРОДУКЦИЯ APPLE;;;;;;;;
Устройства  APPLE;;;;;;;;
Ноутбуки APPLE MacBook;;;;;;;;
101446;"Планшетный компьютер Apple iPad New 10"" 32Gb  Wi-Fi + Cellular, Черный (MD367RS/A)";+;руб.;27190,15;26934,23;26422,39;26163,34;12 СЦ
101441;"Планшетный компьютер Apple iPad New 10"" 32Gb  Wi-Fi, Белый (MD329RS/A)";+;руб.;22580,44;22365,09;21940,63;21728,4;12 СЦ
101442;"Планшетный компьютер Apple iPad New 10"" 32Gb  Wi-Fi, Черный (MC706RS/A)";+;руб.;22580,44;22365,09;21940,63;21728,4;12 СЦ
101450;"Планшетный компьютер Apple iPad New 10"" 64Gb  Wi-Fi + Cellular , Белый (MD371RS/A)";+;руб.;30741,85;30451,6;29871,09;29580,84;12 СЦ
101447;"Планшетный компьютер Apple iPad New 10"" 64Gb  Wi-Fi + Cellular, Черный (MD368RS/A)";-;руб.;30688,79;30398,54;29818,03;29530,9;12 СЦ
101443;"Планшетный компьютер Apple iPad New 10"" 64Gb  Wi-Fi, Белый (MD330RS/A)";+;руб.;26288,18;26038,5;25542,26;25295,71;12 СЦ
101444;"Планшетный компьютер Apple iPad New 10"" 64Gb  Wi-Fi, Черный (MC707RS/A)";+;руб.;26288,18;26038,5;25542,26;25295,71;12 СЦ
Сотовые телефоны APPLE iPhone;;;;;;;;
93069;Мобильный телефон Apple iPhone 4  8GB White (MD198RR/A);+;руб.;22146,62;22037,38;21931,27;21822,03;12СЦ
94039;Мобильный телефон Apple iPhone 4S 16GB Black (MD235RR/A);+;руб.;29356,13;29212,56;29072,12;28928,55;12СЦ
94040;Мобильный телефон Apple iPhone 4S 16GB White (MD239RR/A);+;руб.;29356,13;29212,56;29072,12;28928,55;12СЦ
94041;Мобильный телефон Apple iPhone 4S 32GB Black (MD242RR/A);+;руб.;32445,92;32286,75;32130,69;31971,52;12СЦ
94042;Мобильный телефон Apple iPhone 4S 32GB White (MD245RR/A);+;руб.;32445,92;32286,75;32130,69;31971,52;12СЦ
94284;Мобильный телефон Apple iPhone 4S 64GB Black (MD258RR/A);+;руб.;34505,78;34337,24;34171,83;34003,29;12СЦ
94043;Мобильный телефон Apple iPhone 4S 64GB White (MD261RR/A);+;руб.;35020,74;34849,09;34680,55;34508,9;12СЦ
Моноблоки APPLE iMac;;;;;;;;
89243;"Моноблок APPLE iMac | Intel Core i5 2.5GHz | 21.5"" FHD | 4 Gb | 500Gb | ATi 6750M | SD | MacOS (MC309RS/A)";-;руб.;43678,4;43260,18;42838,85;42420,63;12СЦ
93017;"Моноблок APPLE iMac | Intel Core i5 2.7GHz | 21,5"" FHD | 4 Gb | 1Tb | HD6770M 512Mb | SD (MC812RS/A)";-;руб.;57201,69;56652,39;56099,97;55550,68;12СЦ
93342;"Моноблок APPLE iMac | Intel Core i5 2.7GHz | 27"" FHD | 4 Gb | 1Tb | HD6770M 512Mb | SD (MC813RS/A)";-;руб.;64898,07;64273,87;63649,67;63025,47;12СЦ
93343;"Моноблок APPLE iMac | Intel Core i5 3.1GHz | 27"" FHD | 4 Gb | 1Tb | HD6970M 1Gb | SD (MC814RS/A)";-;руб.;76439,53;75706,1;74969,54;74236,11;12СЦ
Плееры APPLE iPod;;;;;;;;
81988;Плеер APPLE iPod Classic 160Gb Silver (MC293);-;руб.;9406,58;9318,67;9142,85;8967,02;12
102177;Плеер APPLE iPod I TOUCH 16Gb, Black (ME178);+;руб.;8188,84;8110,7;7957,66;7804,63;12
102178;Плеер APPLE iPod I TOUCH 16Gb, White (ME179RP/A);+;руб.;8188,84;8110,7;7957,66;7804,63;12СЦ
80816;Плеер APPLE iPod I TOUCH 32Gb, Black (MC544RP/A);+;руб.;12359,16;12243,68;12012,73;11781,77;12СЦ
102656;Плеер APPLE iPod I TOUCH 32Gb, Black & Silver (MD723RP/A);+;руб.;12359,16;12243,68;12012,73;11781,77;12СЦ
92833;Плеер APPLE iPod I TOUCH 32Gb, White (MD058RP/A);+;руб.;12193,72;12079,76;11851,84;11623,92;12СЦ
102655;Плеер APPLE iPod I TOUCH 32Gb, White & Silver (MD720RP/A);+;руб.;12359,16;12243,68;12012,73;11781,77;12СЦ
102652;Плеер APPLE iPod I TOUCH 32Gb, Yellow (MD714RP/A);+;руб.;12359,16;12243,68;12012,73;11781,77;12СЦ
80818;Плеер APPLE iPod I TOUCH 64Gb, Black (MC547);+;руб.;15677,64;15531,12;15238,08;14945,04;12
102651;Плеер APPLE iPod I TOUCH 64Gb, Pink (MC904RP/A);+;руб.;16584,99;16428,94;16119,97;15807,86;12СЦ
92834;Плеер APPLE iPod I TOUCH 64Gb, White (MD059);+;руб.;15677,64;15531,12;15238,08;14945,04;12
102653;Плеер APPLE iPod I TOUCH 64Gb, Yellow (MD715RP/A);+;руб.;16584,99;16428,94;16119,97;15807,86;12СЦ
80817;Плеер APPLE iPod I TOUCH  8Gb, Black (MC540);-;руб.;7492,06;7420,42;7280,42;7140,41;12
92832;Плеер APPLE iPod I TOUCH  8Gb, White (MD057RP/A);+;руб.;7492,06;7420,42;7280,42;7140,41;12СЦ
84589;Плеер APPLE iPod nano 16Gb Blue (MC695);-;руб.;6098,49;6039,88;5925,92;5811,96;12
102648;Плеер APPLE iPod nano 16Gb Green (MD478QB/A);+;руб.;6151,49;6095,31;5979,84;5864,36;12СЦ
84587;Плеер APPLE iPod nano 16Gb Orange (MC697);+;руб.;6098,49;6039,88;5925,92;5811,96;12
84588;Плеер APPLE iPod nano 16Gb Pink (MC698);+;руб.;6098,49;6039,88;5925,92;5811,96;12
102649;Плеер APPLE iPod nano 16Gb Silver (MD480QB/A);+;руб.;6151,49;6095,31;5979,84;5864,36;12СЦ
102650;Плеер APPLE iPod nano 16Gb Slate (MD481QB/A);+;руб.;6151,49;6095,31;5979,84;5864,36;12СЦ
84547;Плеер APPLE iPod nano 8Gb Pink (MC692);+;руб.;4773,3;4727,71;4639,8;4548,63;12
91517;Плеер Apple iPod Shuffle, 2Gb, Blue (MC751);+;руб.;1969,88;1950,34;1914,53;1875,46;12
101823;Плеер Apple iPod Shuffle, 2Gb, Blue (MD775);+;руб.;2233,62;2210,82;2171,75;2129,42;12
102176;Плеер Apple iPod Shuffle, 2Gb, Green (MD776);+;руб.;2233,62;2210,82;2171,75;2129,42;12
91246;Плеер Apple iPod Shuffle, 2Gb, Orange (MC749RP/A);+;руб.;2141,01;2119,16;2081,71;2041,13;12СЦ
101822;Плеер Apple iPod Shuffle, 2Gb, Pink (MD773RP/A);+;руб.;2233,62;2210,82;2171,75;2129,42;12СЦ
101821;Плеер Apple iPod Shuffle, 2Gb, Purple (MD777);+;руб.;2233,62;2210,82;2171,75;2129,42;12
102016;Плеер Apple iPod Shuffle, 2Gb, Rad (MD780);+;руб.;2233,62;2210,82;2171,75;2129,42;12
102014;Плеер Apple iPod Shuffle, 2Gb, Silver (MD778);+;руб.;2233,62;2210,82;2171,75;2129,42;12
101820;Плеер Apple iPod Shuffle, 2Gb, Slate (MD779RP/A);+;руб.;2233,62;2210,82;2171,75;2129,42;12
102015;Плеер Apple iPod Shuffle, 2Gb, Yellow (MD774);+;руб.;2233,62;2210,82;2171,75;2129,42;12
Сумки, чехлы для APPLE;;;;;;;;
Сумки, чехлы для ноутбуков APPLE MacBook;;;;;;;;
75656;"Сумка 13,3"" Tucano Work Out for Apple, WO-MB133-I, нейлон, цвет белый";+;руб.;1367,52;1354,5;1315,42;1292,63;0,5
96152;"Сумка 13"" Tucano Expanded for Apple, BEWO13-BS, нейлон, цвет синий";+;руб.;1696,38;1680,1;1634,51;1601,95;0,5
96153;"Сумка 13"" Tucano Expanded for Apple, BEWO13-BX, нейлон, цвет бургунди";+;руб.;1116,81;1107,04;1077,74;1054,94;0,5
80886;"Сумка 13"" Tucano Expanded for Apple, BEWO13-M, нейлон, цвет черный";+;руб.;1696,38;1680,1;1634,51;1601,95;0,5
96158;"Сумка 13"" Tucano Multitasking for Apple, BMTIP13, полиэстер, цвет черный";+;руб.;1582,42;1569,39;1523,81;1494,5;0,5
96160;"Сумка 13"" Tucano Multitasking for Apple, BMTO13, полиэстер, цвет черный";+;руб.;1582,42;1569,39;1523,81;1494,5;0,5
96155;"Сумка 15"" Tucano Expanded for Apple, BEWO15-BS, нейлон, цвет синий";+;руб.;1774,52;1758,24;1709,4;1676,84;0
80887;"Сумка 15"" Tucano Expanded for Apple, BEWO15-M, нейлон, цвет черный";-;руб.;1768,01;1751,73;1702,89;1670,33;0,5
80888;"Сумка 17"" Tucano Expanded for Apple, BEWO17-M, нейлон, цвет черный";+;руб.;1917,78;1898,25;1846,15;1810,34;0,5
