categories;product_name;product_code;price_value;product_vendor_id;price_currency_id;product_published
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-VTPS-28PK-R1> Vortex Plus (Socket 775/1155/1156/1366/AM2+/AM3/AM3+/FM1. 800-2800 RPM. 4pin. TDP 140W. 17-35dB. Al+Cu. 445g);u40046143;289101;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-910-HTX3-GP> Hyper TX3 (Socket 775/1155/1156/AM2+/AM3/AM3+/FM1. 800-2800 RPM. 4pin. TDP 130W. 17-35dB. Al+Cu. 470g);u40037384;344868;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-TX3E-22PK-R1> Hyper TX3 EVO (Socket 1155/1366/AM3+/FM1. 800-2200 RPM. 4pin. TDP 140W. 17-30dB. Al+Cu. 379g);u40062366;263784;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-S400-18FK-R1> S400 (Socket 1155/1366/775/AM3+/FM1. 1800 RPM. 3pin. TDP 110W. 20dB. Al+Cu. 485g);u40064230;253605;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-S200-18FK-R1> S200 (Socket 1155/1366/775/AM3+/FM1. 1800 RPM. 3pin. TDP 65W. 19dB. Al+Cu. 345g);u40064228;172434;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-H101-30PK-RU> Hyper 101 Universal PWM (Socket 1155/1366/775/AM3+/FM1. 800-3000 RPM. 4pin. TDP 95W. 13-28dB. Al+Cu. 315g);u40044490;182613;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <CP6-9HDSA-PL-GP> (Socket 1155/1156. 800-4200 RPM. 4pin. TDP 95W. 16-46dB. Al+Cu. 468g);u40045843;109533;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-GMM4-16PK-R1> GeminII M4 (Socket 1155/1366/775/AM3+/FM1. 500-1600 RPM. 4pin. TDP 110W. 8-30dB. Al+Cu. 289g);u40064235;324597;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-V211-15FK-R1> Vortex 211Q (Socket 1155/775. 2000 RPM. 3pin. TDP 95W. 20dB. Al+Cu. 230g. низкопрофильный);u40057987;182526;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-V211-22FK-R1> Vortex 211P (Socket 775/1155/1156. 2200 RPM. 3pin. TDP 110W. 26dB. Al+Cu. 230g. низкопрофильный);u40057986;182613;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <DP6-8E5SB-PL-GP> (Socket 1155/1156. 800-2600 RPM. 4pin. TDP 82W. 19-32dB. Al. 237g. низкопрофильный);u40056798;85173;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <DP6-8E5SB-0L-GP> (Socket 1155/1156. 2600 RPM. 3pin. TDP 82W. 31dB. Al. 237g. низкопрофильный);u40057968;61335;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <RR-X117-18FP-R1> X Dream i117 (Socket 1155/775. 1800 RPM. 3pin. TDP 95W. 19dB. Al. 375g);u40064229;147030;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <CP6-9HDSA-0L-GP> (Socket 1155/1156. 2200 RPM. 3pin. TDP 95W. 22dB. Al+Cu. 459g);u40037810;97962;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <DP6-9HDSA-0L-GP> (Socket 1155/1156. 2200 RPM. 3pin. TDP 95W. 24dB. Al. 425g);u40038167;81171;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <DP6-9EDSA-0L-GP> (Socket 1155/1156. 2600 RPM. 3pin. TDP 82W. 29dB. Al. 278g);u40044115;61335;9995;20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER;Cooler Master <CI5-9IDSP-PL-GP> (Socket 775. 800-4200 RPM. 4pin. TDP 130W. 19-46dB. Al+Cu. 473g);u40045848;98919;9995;20;1
