categories;product_name;product_code;price_value;product_vendor_id;product_published
Компъютеры НИКС;"ПЭВМ MM522 (M5333WNi): Core i3-2120/ 4 Гб/ 1 Тб/ HD Graphics 2000/ DVDRW/ WiFi/ Win7 Premium/ 21.5""";n143860;7064034.6;1005;нет на складе
Компъютеры НИКС;"ПЭВМ MH522 (H5302WNi): Pentium G860/ 4 Гб/ 500 Гб/ HD Graphics/ DVDRW/ WiFi/ Win7 Basic/ 21.5""";n143859;6231444.6;1005;нет на складе
