categories;product_name;;product_code;price_value;product_vendor_id;price_currency_id;product_published
Монтажные шкафы;"NT SSt2-750 B Полка 19"" повышенной грузоподъемности. чёрная L=750 мм";;n128587;582627.69;1005;20;1
Монтажные шкафы;"NT SSt2-620 G Полка 19"" повышенной грузоподъемности. серая L=620 мм";;n128586;555603.75;1005;20;1
Монтажные шкафы;"NT SSt2-620 B Полка 19"" повышенной грузоподъемности. чёрная L=620 мм";;n128585;564791.82;1005;20;1
Монтажные шкафы;"NT SSt2-580 G Полка 19"" повышенной грузоподъемности. серая L=580 мм";;n128584;511015.38;1005;20;1
Монтажные шкафы;"NT SSt2-580 B Полка 19"" повышенной грузоподъемности. чёрная L=580 мм";;n128583;511015.38;1005;20;1
Монтажные шкафы;"NT SSt2-450 G Полка 19"" повышенной грузоподъемности. серая L=450 мм";;n128582;475743.84;1005;20;1
Монтажные шкафы;"NT SSt2-450 B Полка 19"" повышенной грузоподъемности. чёрная L=450 мм";;n128581;475743.84;1005;20;1
Монтажные шкафы;"NT SSt750 G Полка 19"" усиленная. серая L=750 мм. перфорированная. грузоподъемность 100 кг";;n78192;308701.23;1005;20;1
Монтажные шкафы;"NT SSt750 B Полка 19"" усиленная. чёрная L=750 мм. перфорированная. грузоподъемность 100 кг";;n81952;308701.23;1005;20;1
Монтажные шкафы;"NT SSt620 B Полка 19"" усиленная. чёрная L=620 мм. перфорированная. грузоподъемность 100 кг";;n81951;288169.23;1005;20;1
Монтажные шкафы;"NT SSt580 B Полка 19"" усиленная. чёрная L=580 мм. перфорированная. грузоподъемность 100 кг";;n81950;263423.82;1005;20;1
Монтажные шкафы;"NT SSt580 G Полка 19"" усиленная. серая L=580 мм. перфорированная. грузоподъемность 100 кг";;n78178;263423.82;1005;20;1
Монтажные шкафы;"NT SSt450 B Полка 19"" усиленная. чёрная L=450 мм. перфорированная. грузоподъемность 100 кг";;n81949;233296.59;1005;20;1
Монтажные шкафы;"NT SSt450 G Полка 19"" усиленная. серая L=450 мм. перфорированная. грузоподъемность 100 кг";;n78177;233296.59;1005;20;1
Монтажные шкафы;"NT S750 G Полка 19"". серая L=750 мм. перфорированная";;n78182;292294.77;1005;20;1
Монтажные шкафы;"NT S620 G Полка 19"". серая L=620 мм. перфорированная";;n78193;266293.95;1005;20;1
Монтажные шкафы;"NT S620 B Полка 19"". чёрная L=620 мм. перфорированная";;n81955;265308.24;1005;20;1
Монтажные шкафы;"NT S580 G Полка 19"". серая L=580 мм. перфорированная";;n78181;247645.5;1005;20;1
Монтажные шкафы;"NT S580 B Полка 19"". чёрная L=580 мм. перфорированная";;n81954;247645.5;1005;20;1
Монтажные шкафы;"NT S450 B Полка 19"". чёрная L=450 мм. перфорированная";;n81953;213663.3;1005;20;1
Монтажные шкафы;"NT S450 G Полка 19"". серая L=450 мм. перфорированная";;n78180;213663.3;1005;20;1
Монтажные шкафы;"NT SC400 B Полка 19"" консольная. чёрная L=400 мм. перфорированная. 2U";;n81959;226213.92;1005;20;1
Монтажные шкафы;"NT SC400 G Полка 19"" консольная. серая L=400 мм. перфорированная. 2U";;n78185;226213.92;1005;20;1
Монтажные шкафы;"NT SC200 G Полка 19"" консольная. серая L=200 мм. перфорированная";;n78183;190975.44;1005;20;1
Монтажные шкафы;"NT SC200 B Полка 19"" консольная. чёрная L=200 мм. перфорированная";;n81957;190975.44;1005;20;1
Монтажные шкафы;"NT SKS2 B Полка 19"" выдвижная для клавиатуры. чёрная L=620-750 мм. с направляющими";;n81961;485067.63;1005;20;1
Монтажные шкафы;"NT SKS2 G Полка 19"" выдвижная для клавиатуры. серая L=620-750 мм. с направляющими";;n78187;485067.63;1005;20;1
Монтажные шкафы;"NT SKS1 B Полка 19"" выдвижная для клавиатуры. чёрная L=450-580 мм. с направляющими";;n81960;458168.1;1005;20;1
Монтажные шкафы;"NT SKS1 G Полка 19"" выдвижная для клавиатуры. серая L=450-580 мм. с направляющими";;n80616;458168.1;1005;20;1
Монтажные шкафы;"NT SSl750 G Полка 19"" выдвижная с направляющими. серая L=750 мм. перфорированная";;n78479;457238.07;1005;20;1
Монтажные шкафы;"NT SSl750 B Полка 19"" выдвижная с направляющими. чёрная L=750 мм. перфорированная";;n81965;457238.07;1005;20;1
Монтажные шкафы;"NT SSl620 B Полка 19"" выдвижная с направляющими. чёрная L=620 мм. перфорированная";;n81964;485067.63;1005;20;1
Монтажные шкафы;"NT SSl580 G Полка 19"" выдвижная с направляющими. серая L=580 мм. перфорированная";;n78481;451085.43;1005;20;1
Монтажные шкафы;"NT SSl580 B Полка 19"" выдвижная с направляющими. чёрная L=580 мм. перфорированная";;n81963;451085.43;1005;20;1
Монтажные шкафы;"NT SSl450 G Полка 19"" выдвижная с направляющими. серая L=450 мм. перфорированная";;n78482;398454.78;1005;20;1
Монтажные шкафы;"NT SSl450 B Полка 19"" выдвижная с направляющими. чёрная L=450 мм. перфорированная";;n81962;398454.78;1005;20;1
Монтажные шкафы;"NT RS4220 G Стойка 19"" двухрамная раздвижная усиленная серая 42U";;n126328;3100680;1005;20;1
Монтажные шкафы;"NT RS3320 G Стойка 19"" двухрамная раздвижная усиленная серая 33U";;n126330;2840715.3;1005;20;1
Монтажные шкафы;"NT RS3320 B Стойка 19"" двухрамная раздвижная усиленная чёрная 33U";;n126329;2840715.3;1005;20;1
Монтажные шкафы;"NT RS2420 G Стойка 19"" двухрамная раздвижная усиленная серая 24U";;n126332;2643712.5;1005;20;1
Монтажные шкафы;"NT R4220 G Стойка 19"" двухрамная раздвижная. серая 42U 600x495-790";;n78189;1944615.3;1005;20;1
Монтажные шкафы;"NT R4220 B Стойка 19"" двухрамная раздвижная. чёрная 42U 600x495-790";;n81967;1944615.3;1005;20;1
Монтажные шкафы;"NT R3320 B Стойка 19"" двухрамная раздвижная. чёрная 33U 600x495-790";;n81966;1720590.3;1005;20;1
Монтажные шкафы;"NT R3320 G Стойка 19"" двухрамная раздвижная. серая 33U 600x495-790";;n78188;1720590.3;1005;20;1
Монтажные шкафы;"NT R2720 G Стойка 19"" двухрамная раздвижная. серая 27U 6 600x495-790";;n89082;1469812.8;1005;20;1
Монтажные шкафы;"NT R2720 B Стойка 19"" двухрамная раздвижная. чёрная 27U 600x495-790";;n88821;1469812.8;1005;20;1
Монтажные шкафы;"NT R4210 G Стойка 19"" однорамная. серая 42U";;n78191;1209839.4;1005;20;1
Монтажные шкафы;"NT R4210 B Стойка 19"" однорамная. чёрная 42U";;n81969;1227674.4;1005;20;1
Монтажные шкафы;"NT R3310 B Стойка 19"" однорамная. чёрная 33U";;n81968;1021762.8;1005;20;1
Монтажные шкафы;"NT R3310 G Стойка 19"" однорамная. серая 33U";;n78190;1021762.8;1005;20;1
Монтажные шкафы;"NT R2710 B Стойка 19"" однорамная. чёрная 27U";;n88822;905287.2;1005;20;1
Монтажные шкафы;"NT R2710 G Стойка 19"" однорамная. серая 27U";;n88823;905287.2;1005;20;1
Монтажные шкафы;NT F1 G Фильтр в основание шкафа NT PRACTIC серый;;n55183;310856.22;1005;20;1
