categories;product_parent_id;product_code;product_name;price_value;product_vendor_id;price_currency_id;product_published
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40046143;Cooler Master <RR-VTPS-28PK-R1> Vortex Plus (Socket 775/1155/1156/1366/AM2+/AM3/AM3+/FM1. 800-2800 RPM. 4pin. TDP 140W. 17-35dB. Al+Cu. 445g);289101;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40037384;Cooler Master <RR-910-HTX3-GP> Hyper TX3 (Socket 775/1155/1156/AM2+/AM3/AM3+/FM1. 800-2800 RPM. 4pin. TDP 130W. 17-35dB. Al+Cu. 470g);344868;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40062366;Cooler Master <RR-TX3E-22PK-R1> Hyper TX3 EVO (Socket 1155/1366/AM3+/FM1. 800-2200 RPM. 4pin. TDP 140W. 17-30dB. Al+Cu. 379g);263784;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064230;Cooler Master <RR-S400-18FK-R1> S400 (Socket 1155/1366/775/AM3+/FM1. 1800 RPM. 3pin. TDP 110W. 20dB. Al+Cu. 485g);253605;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064228;Cooler Master <RR-S200-18FK-R1> S200 (Socket 1155/1366/775/AM3+/FM1. 1800 RPM. 3pin. TDP 65W. 19dB. Al+Cu. 345g);172434;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40044490;Cooler Master <RR-H101-30PK-RU> Hyper 101 Universal PWM (Socket 1155/1366/775/AM3+/FM1. 800-3000 RPM. 4pin. TDP 95W. 13-28dB. Al+Cu. 315g);182613;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40045843;Cooler Master <CP6-9HDSA-PL-GP> (Socket 1155/1156. 800-4200 RPM. 4pin. TDP 95W. 16-46dB. Al+Cu. 468g);109533;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064235;Cooler Master <RR-GMM4-16PK-R1> GeminII M4 (Socket 1155/1366/775/AM3+/FM1. 500-1600 RPM. 4pin. TDP 110W. 8-30dB. Al+Cu. 289g);324597;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40057987;Cooler Master <RR-V211-15FK-R1> Vortex 211Q (Socket 1155/775. 2000 RPM. 3pin. TDP 95W. 20dB. Al+Cu. 230g. низкопрофильный);182526;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40057986;Cooler Master <RR-V211-22FK-R1> Vortex 211P (Socket 775/1155/1156. 2200 RPM. 3pin. TDP 110W. 26dB. Al+Cu. 230g. низкопрофильный);182613;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40056798;Cooler Master <DP6-8E5SB-PL-GP> (Socket 1155/1156. 800-2600 RPM. 4pin. TDP 82W. 19-32dB. Al. 237g. низкопрофильный);85173;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40057968;Cooler Master <DP6-8E5SB-0L-GP> (Socket 1155/1156. 2600 RPM. 3pin. TDP 82W. 31dB. Al. 237g. низкопрофильный);61335;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064229;Cooler Master <RR-X117-18FP-R1> X Dream i117 (Socket 1155/775. 1800 RPM. 3pin. TDP 95W. 19dB. Al. 375g);147030;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40037810;Cooler Master <CP6-9HDSA-0L-GP> (Socket 1155/1156. 2200 RPM. 3pin. TDP 95W. 22dB. Al+Cu. 459g);97962;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40038167;Cooler Master <DP6-9HDSA-0L-GP> (Socket 1155/1156. 2200 RPM. 3pin. TDP 95W. 24dB. Al. 425g);81171;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40044115;Cooler Master <DP6-9EDSA-0L-GP> (Socket 1155/1156. 2600 RPM. 3pin. TDP 82W. 29dB. Al. 278g);61335;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40045848;Cooler Master <CI5-9IDSP-PL-GP> (Socket 775. 800-4200 RPM. 4pin. TDP 130W. 19-46dB. Al+Cu. 473g);98919;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40063534;Cooler Master <DK9-7G52A-PL-GP> (Socket AM3+/FM1. 800-4500 RPM. 4pin. TDP 95W. 16-28dB. Al. 240g);86217;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40063535;Cooler Master <DK9-9ID2B-0L-GP> (Socket AM3+/FM1. 5500 RPM. 3pin. TDP 120W. 25dB. Al. 372g);81171;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40063533;Cooler Master <DK9-7G52A-0L-GP> (Socket AM3+/FM1. 4500 RPM. 3pin. TDP 95W. 28dB. Al. 240g);70992;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40044489;Cooler Master <DK9-9GD4A-0L-GP> (Socket AM2/AM2+/AM3/AM3+/FM1. 2200 RPM. 3pin. TDP 65W. 22dB. Al. 340g);43587;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40039651;Cooler Master <DK9-7F52B-0L-GP> (Socket AM2+/AM3/AM3+/FM1. 2600 RPM. 3pin. TDP 65W. 22dB. Al. 222g);41064;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40039650;Cooler Master <DK9-7E52B-0L-GP> (Socket AM2+/AM3/AM3+/FM1. 2600 RPM. 3pin. TDP 45W. 22dB. Al. 222g. низкопрофильный);42108;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40067465;Cooler Master <R4-S4S-10AK-GP> Silent 140 (140x140x25. 1000RPM. 3pin. 16dB. 170g);72993;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064197;Cooler Master <R4-L4S-10AB-GP> Blue LED silent fan 140mm (140x140x25. 1000 RPM. 3pin. 16dB. 170g. голубая подсветка);60900;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40063532;Cooler Master <R4-EXBB-20PK-R0> Excalibur (120x120x25. 600-2000 RPM. 4pin. 13-30dB. 128g. съёмный винт с лопастями);121713;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064206;Cooler Master <R4-XFBL-22PR-R1> XtraFlo 120 Red LED (120x120x25. 800-2200 RPM. 4pin. 15-38dB. 102g);96396;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40008442;Cooler Master <R4-P2B-12AK-GP> PWM fan 120mm (120x120x25. 750-1200 RPM. 4pin. 14-25dB. 166g);74037;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064205;Cooler Master <SAF-S12-E1-GP> Ultra Silent Fan Series 120mm (120x120x25. 720 RPM. 3pin. 12dB. 198g);116667;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064202;Cooler Master <R4-BMBS-20PK-R0> Blade Master 120mm (120x120x25. 600-2000 RPM. 4pin. 13-31dB. 166g);111621;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064200;Cooler Master <R4-BCBR-12FR-R1> BC 120 Red LED Fan (120x120x25. 1200 RPM. 3pin. 21dB. 141g. красная подсветка);91263;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064199;Cooler Master <R4-BCBR-12FG-R1> BC 120 Green LED Fan (120x120x25. 1200 RPM. 3pin. 21dB. 141g. зелёная подсветка);91263;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064198;Cooler Master <R4-BCBR-12FB-R1> BC 120 Blue LED Fan (120x120x25. 1200 RPM. 3pin. 21dB. 141g. голубая подсветка);91263;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064201;Cooler Master <R4-BCBR-12FW-R1> BC 120 White LED Fan (120x120x25. 1200 RPM. 3pin. 21dB. 141g. белая подсветка);91263;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064204;Cooler Master <R4-L2R-20AR-R1> SickleFlow 120 Red LED Fan (120x120x25. 2000 RPM. 3pin. 19dB. 116g. красная подсветка);76125;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064203;Cooler Master <R4-L2R-20AG-R2> SickleFlow 120 Green LED Fan (120x120x25. 2000 RPM. 3pin. 19dB. 116g. зелёная подсветка);76125;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40028057;Cooler Master <R4-L2R-20AC-GP> SickleFlow 120 Blue LED Fan (120x120x25. 2000 RPM. 3pin. 19dB. 116g. голубая подсветка);76125;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40028352;Cooler Master <R4-C2R-20AC-GP> SickleFlow 120 2000 RPM (120x120x25. 2000 RPM. 3pin. 19dB. 116g. подшипник Long Life);55854;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40036132;Cooler Master <O4-P2B-12AK-GP / A12025-12AB-4EP-F1> (120x120x25. 700-1200 RPM. 4pin. 14-20dB. 136g) OEM;65859;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40036133;Cooler Master <R4-S2S-12AK-GP> (120x120x25. 1200 RPM. 3pin. 20dB. 120g);64902;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40064208;Cooler Master <R4-BM9S-28PK-R0> Blade Master 92mm (90x90x25. 800-2800 RPM. 4pin. 13-35dB. 91g);89262;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40058722;Cooler Master <R4-P9B-22AK-G> PWM fan 92mm (90x90x25. 850-2250 RPM. 4pin. 12-33dB. 100g);49242;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40008443;Cooler Master <O4-P9B-18AK> (90x90x25. 700-1800 RPM. 4pin. 17-21dB. 92g);65859;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40058723;Cooler Master <R4-S9D-19AK-GP> Super Fan 90 SU1 (90x90x25. 1700 RPM. 3pin. 19dB. 100g);35583;9995; 20;1
ВЕНТИЛЯТОРЫ ДЛЯ CPU & HDD COOLER MASTER; 0;u40037585;Cooler Master <N8R-22K1-GP> (80x80x25. 2200 RPM. 4pin. 21dB. 77g. подключается к блоку питания);30450;9995; 20;1
